date	tstep	P in 10N-45N	P in 10S-10N	P in 35S-10S	P total	F_epi	F_meso	F_mmeso	F_bathy	F_mbathy	F_hmbathy	B Larvae alb	B Juv alb	B Rec alb	B Young alb	B Adult alb	B Totalalb	
1979-1-15	1	0	1.15849e+15	8.02935e+14	2.81137e+15	4.15335e+07	4.16275e+07	6.70038e+07	1.17744e+08	6.61867e+07	7.37271e+07	1119.18	3543.67	5821.8	619926	763760	1.38369e+06	
1979-2-15	2	0	1.1787e+15	7.72989e+14	2.73619e+15	4.15368e+07	4.17086e+07	6.73227e+07	1.17744e+08	6.65211e+07	7.46154e+07	1098.55	3565.22	5846.41	615809	769030	1.38484e+06	
1979-3-15	3	0	1.165e+15	7.06567e+14	2.55319e+15	4.10299e+07	4.1724e+07	6.73005e+07	1.17902e+08	6.68165e+07	7.50587e+07	1084.08	3560.29	5834.13	611944	774528	1.38647e+06	
1979-4-15	4	0	1.12278e+15	6.42075e+14	2.35535e+15	4.03554e+07	4.18296e+07	6.72875e+07	1.18637e+08	6.7362e+07	7.52538e+07	1067.99	3493.86	5795.31	608833	780976	1.38981e+06	
1979-5-15	5	0	1.08239e+15	6.12167e+14	2.19892e+15	3.94594e+07	4.20121e+07	6.68639e+07	1.19696e+08	6.78915e+07	7.51334e+07	1033.31	3435.45	5694.32	606709	788211	1.39492e+06	
1979-6-15	6	0	1.07106e+15	6.73211e+14	2.20007e+15	3.8717e+07	4.21219e+07	6.62084e+07	1.20776e+08	6.81962e+07	7.46351e+07	1003.91	3352.09	5576.79	605421	796378	1.4018e+06	
1979-7-15	7	0	1.07946e+15	8.18353e+14	2.44388e+15	3.83287e+07	4.21853e+07	6.56723e+07	1.21558e+08	6.82874e+07	7.40019e+07	948.554	3254.85	5450	604663	805503	1.41017e+06	
1979-8-15	8	0	1.11885e+15	9.91817e+14	2.81129e+15	3.83798e+07	4.21867e+07	6.55217e+07	1.22042e+08	6.8226e+07	7.34887e+07	882.149	3142.29	5275.28	604590	800828	1.40542e+06	
1979-9-15	9	0	1.13167e+15	1.05935e+15	3.11455e+15	3.9093e+07	4.20684e+07	6.57575e+07	1.22278e+08	6.80193e+07	7.33038e+07	909.643	2968.15	5058.89	605285	793757	1.39904e+06	
1979-10-15	10	0	1.12703e+15	1.03946e+15	3.16243e+15	4.0192e+07	4.20121e+07	6.62873e+07	1.2231e+08	6.77392e+07	7.35232e+07	974.256	2900.69	4895.44	605913	781973	1.38789e+06	
1979-11-15	11	0	1.1166e+15	9.52995e+14	3.01839e+15	4.10765e+07	4.19012e+07	6.68253e+07	1.21898e+08	6.73459e+07	7.35687e+07	1008.17	3044.14	4908.53	606086	771342	1.37743e+06	
1979-12-15	12	0	1.08349e+15	8.97491e+14	2.84826e+15	4.15073e+07	4.1879e+07	6.70969e+07	1.21424e+08	6.69531e+07	7.37998e+07	1035.44	3206.24	5124.21	606288	765791	1.37208e+06	
1980-1-15	13	0	1.10981e+15	8.34885e+14	2.77848e+15	4.14909e+07	4.18757e+07	6.72029e+07	1.2118e+08	6.70618e+07	7.42856e+07	1080.56	3301.43	5344.31	607141	760679	1.36782e+06	
1980-2-15	14	0	1.11136e+15	7.67603e+14	2.6586e+15	4.10411e+07	4.19499e+07	6.72406e+07	1.21179e+08	6.74129e+07	7.48819e+07	1079.13	3404.86	5511.1	608577	761729	1.37031e+06	
1980-3-15	15	0	1.08728e+15	7.14595e+14	2.49116e+15	4.03196e+07	4.19589e+07	6.71198e+07	1.21657e+08	6.7836e+07	7.51594e+07	1047.07	3469.81	5620.95	609363	763404	1.37277e+06	
1980-4-15	16	0	1.05522e+15	6.51642e+14	2.31855e+15	3.95275e+07	4.20116e+07	6.68406e+07	1.22196e+08	6.82058e+07	7.51143e+07	1027.44	3409.4	5639.92	609992	766793	1.37678e+06	
1980-5-15	17	0	1.02428e+15	6.13524e+14	2.17976e+15	3.86091e+07	4.20292e+07	6.62295e+07	1.22729e+08	6.84461e+07	7.47451e+07	1014.9	3311.85	5532.34	610753	771873	1.38263e+06	
1980-6-15	18	0	1.00718e+15	6.79849e+14	2.15287e+15	3.78561e+07	4.20566e+07	6.54433e+07	1.23491e+08	6.86228e+07	7.41386e+07	1009.16	3252.74	5403.4	611160	778439	1.3896e+06	
1980-7-15	19	0	1.06122e+15	8.37637e+14	2.4205e+15	3.72757e+07	4.20955e+07	6.46365e+07	1.24194e+08	6.87517e+07	7.32149e+07	975.005	3227.32	5334.5	611843	786446	1.39829e+06	
1980-8-15	20	0	1.12483e+15	1.03418e+15	2.88694e+15	3.7502e+07	4.21397e+07	6.44906e+07	1.24653e+08	6.86787e+07	7.25964e+07	906.101	3182.12	5269.75	612872	781547	1.39442e+06	
