alb regions: 			
140 170 -10 0
140 170 -25 -10
140 170 -50 -25
170 210 -10 0
170 210 -25 -10
170 210 -50 -25
210 230 -25 -5
210 230 -50 -25
juvenile: from age 0 to 0			
young: from age 0 to age54 (see maturity at age)			
Recruit: at age 2			
Adult: from age 54 to age 3			
Total biomass: from age 0 to 151			

year	month	day	alb N Larvae region 1	alb N Larvae region 2	alb N Larvae region 3	alb N Larvae region 4	alb N Larvae region 5	alb N Larvae region 6	alb N Larvae region 7	alb N Larvae region 8	Total N Larvae	alb N Juv. region 1	alb N Juv. region 2	alb N Juv. region 3	alb N Juv. region 4	alb N Juv. region 5	alb N Juv. region 6	alb N Juv. region 7	alb N Juv. region 8	Total N Juv.	alb N Rec. region 1	alb N Rec. region 2	alb N Rec. region 3	alb N Rec. region 4	alb N Rec. region 5	alb N Rec. region 6	alb N Rec. region 7	alb N Rec. region 8	Total N. Rec.	alb B Young region 1	alb B Young region 2	alb B Young region 3	alb B Young region 4	alb B Young region 5	alb B Young region 6	alb B Young region 7	alb B Young region 8	Total B. Young	alb B Adult region 1	alb B Adult region 2	alb B Adult region 3	alb B Adult region 4	alb B Adult region 5	alb B Adult region 6	alb B Adult region 7	alb B Adult region 8	Total B Adult	alb B tot. region 1	alb B tot. region 2	alb B tot. region 3	alb B tot. region 4	alb B tot. region 5	alb B tot. region 6	alb B tot. region 7	alb B tot. region 8	Total B	
1979	1	15	457886	1.45643e+06	551663	208436	3.65838e+06	693358	1.94145e+06	473952	9.44156e+06	1.02949e+06	3.20959e+06	825250	473202	6.99708e+06	1.13891e+06	3.56642e+06	715333	1.79553e+07	1.62027e+06	4.85315e+06	1.32489e+06	769508	9.70915e+06	2.07157e+06	4.97904e+06	1.06154e+06	2.63891e+07	10734.5	36250	102479	8882.89	41092.5	241238	15996.7	46049.7	502723	25428.5	54663.2	62140.7	24229.3	96057.5	128844	39377.3	53874.4	484615	36163	90913.2	164619	33112.2	137150	370082	55373.9	99924.1	987338	
1979	2	15	220886	1.6075e+06	715169	217377	3.45417e+06	1.01592e+06	1.77715e+06	626949	9.63512e+06	874554	2.8142e+06	1.02083e+06	416432	6.74694e+06	1.31098e+06	3.66654e+06	855909	1.77064e+07	1.37105e+06	4.22525e+06	1.57961e+06	663708	9.43425e+06	2.26062e+06	5.18768e+06	1.23054e+06	2.59527e+07	10834.3	36060.5	101446	8897.09	39894.6	239209	16173.4	45423	497938	25290.5	51198.1	70265.1	23823	81702.1	149914	36044.2	56846.1	495083	36124.8	87258.5	171711	32720.1	121597	389123	52217.6	102269	993021	
1979	3	15	233307	1.73473e+06	799358	217614	3.25198e+06	1.12794e+06	1.60937e+06	598911	9.57322e+06	635864	2.84785e+06	1.25656e+06	444645	6.42536e+06	1.71657e+06	3.52284e+06	1.04736e+06	1.7897e+07	1.03466e+06	4.04068e+06	1.88445e+06	680087	8.98528e+06	2.71925e+06	5.10044e+06	1.47029e+06	2.59151e+07	10698.5	35948.1	100552	9296.27	38228.8	237683	15885.7	45146	493439	24388.3	48914	75741.3	22951	72601.9	163222	32393.1	59711.4	499923	35086.8	84862.2	176294	32247.2	110831	400905	48278.8	104857	993362	
1979	4	15	227452	1.72121e+06	915294	210630	2.94016e+06	1.2343e+06	1.47312e+06	573570	9.29574e+06	458692	3.11246e+06	1.48149e+06	454233	6.01169e+06	2.09822e+06	3.20824e+06	1.11258e+06	1.79376e+07	814169	4.19092e+06	2.19859e+06	675679	8.48626e+06	3.17117e+06	4.79059e+06	1.59172e+06	2.59191e+07	10635.9	35458.7	100095	9342	36763.5	236377	15377.6	45275.3	489325	23623.1	47474.7	80038.7	21472.7	66578.1	172660	29417	62310.5	503575	34259.1	82933.3	180134	30814.7	103342	409037	44794.6	107586	992900	
1979	5	15	238340	1.85558e+06	941597	174530	2.83565e+06	1.19824e+06	1.38008e+06	519192	9.14322e+06	422805	3.26417e+06	1.63157e+06	406123	5.53505e+06	2.28837e+06	2.91787e+06	1.05439e+06	1.75204e+07	624955	4.47907e+06	2.47394e+06	640610	7.86677e+06	3.59839e+06	4.37252e+06	1.60534e+06	2.56616e+07	10700.1	34923.9	100106	9144.18	35722.4	235337	14986.3	45595.2	486515	23044.7	46695.6	83469.8	20066.7	62830.9	180379	27183.6	64569.6	508240	33744.8	81619.5	183576	29210.9	98553.3	415715	42169.9	110165	994754	
1979	6	15	267766	1.89917e+06	882873	165811	2.8872e+06	1.07344e+06	1.39874e+06	445470	9.02047e+06	438516	3.36801e+06	1.73706e+06	352723	5.13915e+06	2.36454e+06	2.7398e+06	969209	1.7109e+07	638796	4.71287e+06	2.63358e+06	562165	7.36494e+06	3.69375e+06	4.08608e+06	1.47787e+06	2.517e+07	10623.2	34759.5	99863	8877.46	35192.1	234700	15125.2	45911	485051	22528.6	47066.8	84806.3	19074	60603.7	187926	25945.8	66880	514832	33151.8	81826.3	184669	27951.4	95795.8	422626	41071	112791	999883	
1979	7	15	296476	1.96052e+06	637965	189850	2.92846e+06	857766	1.40543e+06	364945	8.64141e+06	501294	3.51533e+06	1.69486e+06	348021	5.1602e+06	2.1652e+06	2.69802e+06	835713	1.69186e+07	700483	4.85858e+06	2.66071e+06	547227	7.21213e+06	3.5142e+06	3.96873e+06	1.30031e+06	2.47624e+07	10584	34924.5	99703	8813.75	34863.8	233967	15279.3	45888	484023	22386.6	47275.6	86417.3	18748.9	59475.8	193770	25125.1	69293.9	522494	32970.6	82200.1	186120	27562.6	94339.6	427738	40404.4	115182	1.00652e+06	
1979	8	15	307965	2.00662e+06	417983	213623	2.98615e+06	617041	1.37627e+06	288922	8.21458e+06	548531	3.66085e+06	1.38817e+06	404390	5.35424e+06	1.79874e+06	2.71226e+06	715915	1.65831e+07	772972	5.12291e+06	2.36695e+06	602331	7.35928e+06	3.08789e+06	3.92725e+06	1.12462e+06	2.43642e+07	10491.4	35323.3	99788.5	8880.92	34584.3	234064	15398	45734	484264	22441.2	48597.7	81434.7	18353.9	70189.8	176300	25752.2	67027.8	510097	32932.5	83921	181223	27234.8	104774	410364	41150.2	112762	994361	
1979	9	15	315842	2.01545e+06	315815	188055	3.31445e+06	627737	1.46341e+06	314980	8.55573e+06	562422	3.77832e+06	1.00763e+06	442733	5.43056e+06	1.43747e+06	2.66704e+06	604988	1.59312e+07	801447	5.32519e+06	1.91929e+06	660015	7.52241e+06	2.61315e+06	3.89502e+06	971532	2.3708e+07	10272.7	35285.5	100290	8751.85	35478.8	234148	15464.2	45530.4	485222	22462.7	52488.9	75213.7	17437.8	88166.2	155544	31205	61815.7	504334	32735.4	87774.4	175504	26189.7	123645	389692	46669.2	107346	989556	
1979	10	15	302131	1.98894e+06	259547	186278	3.62183e+06	655703	1.73483e+06	337810	9.08708e+06	589117	3.81176e+06	738019	465236	5.77434e+06	1.30806e+06	2.67986e+06	577732	1.59441e+07	834812	5.46073e+06	1.44586e+06	746857	7.92493e+06	2.30464e+06	3.87546e+06	906282	2.34996e+07	10003.1	35429.6	100588	8961.43	36693.5	233486	15388.2	45344.1	485894	22622	55889.6	69023.4	18485.8	100657	138411	37388.9	55169.1	497647	32625.1	91319.2	169611	27447.2	137351	371897	52777	100513	983541	
