date	tstep	P in 10N-45N	P in 10S-10N	P in 35S-10S	P total	F_epi	F_meso	F_mmeso	F_bathy	F_mbathy	F_hmbathy	B Larvae alb	B Juv alb	B Rec alb	B Young alb	B Adult alb	B Totalalb	effort L1	obs C_alb_L1	pred C_alb_L1	obs CPUE_alb_L1	pred CPUE_alb_L1	effort L2	obs C_alb_L2	pred C_alb_L2	obs CPUE_alb_L2	pred CPUE_alb_L2	effort L3	obs C_alb_L3	pred C_alb_L3	obs CPUE_alb_L3	pred CPUE_alb_L3	effort L4	obs C_alb_L4	pred C_alb_L4	obs CPUE_alb_L4	pred CPUE_alb_L4	effort L5	obs C_alb_L5	pred C_alb_L5	obs CPUE_alb_L5	pred CPUE_alb_L5	effort L6	obs C_alb_L6	pred C_alb_L6	obs CPUE_alb_L6	pred CPUE_alb_L6	effort L7	obs C_alb_L7	pred C_alb_L7	obs CPUE_alb_L7	pred CPUE_alb_L7	effort T8	obs C_alb_T8	pred C_alb_T8	obs CPUE_alb_T8	pred CPUE_alb_T8	effort G9	obs C_alb_G9	pred C_alb_G9	obs CPUE_alb_G9	pred CPUE_alb_G9	effort L10	obs C_alb_L10	pred C_alb_L10	obs CPUE_alb_L10	pred CPUE_alb_L10	effort L11	obs C_alb_L11	pred C_alb_L11	obs CPUE_alb_L11	pred CPUE_alb_L11	effort L12	obs C_alb_L12	pred C_alb_L12	obs CPUE_alb_L12	pred CPUE_alb_L12	effort L13	obs C_alb_L13	pred C_alb_L13	obs CPUE_alb_L13	pred CPUE_alb_L13	effort L14	obs C_alb_L14	pred C_alb_L14	obs CPUE_alb_L14	pred CPUE_alb_L14	effort L15	obs C_alb_L15	pred C_alb_L15	obs CPUE_alb_L15	pred CPUE_alb_L15	effort L16	obs C_alb_L16	pred C_alb_L16	obs CPUE_alb_L16	pred CPUE_alb_L16	
1979-1-15	1	0	1.15849e+15	8.02935e+14	2.81137e+15	4.15335e+07	4.16275e+07	6.70038e+07	1.17744e+08	6.61867e+07	7.37271e+07	953.657	2819.96	4502.67	540733	567552	1.10829e+06	1961.84	3.257	22.586	0.00532002	0.0114506	48571.7	426.87	753.329	0.0104658	0.0188869	20163.4	825.666	1023.45	0.0368334	0.0422138	0	0	0	0	0	0	0	0	0	0	40078.5	20.764	20.7428	0.000590751	0.000590151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23909.2	94.719	60.509	0.0042469	0.00271849	0	0	0	0	0	7681.49	1.865	40.816	0.000334293	0.00529653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-2-15	2	0	1.1787e+15	7.72989e+14	2.73619e+15	4.15368e+07	4.17086e+07	6.73227e+07	1.17744e+08	6.65211e+07	7.46154e+07	933.791	2966.94	4742.13	540895	569344	1.11024e+06	2519.84	1.199	15.3216	0.003471	0.0100858	48742.8	257.457	743.266	0.00764998	0.0180905	19035.8	579.989	697.771	0.0286402	0.0353504	0	0	0	0	0	0	0	0	0	0	48242	26.518	26.4908	0.00052666	0.000526125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9189.82	65.844	24.5635	0.00446711	0.00246621	0	0	0	0	0	2791.8	4.106	13.8188	0.00344316	0.00589394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-3-15	3	0	1.165e+15	7.06567e+14	2.55319e+15	4.10299e+07	4.1724e+07	6.73005e+07	1.17902e+08	6.68165e+07	7.50587e+07	908.558	3024.9	4883.17	540984	571474	1.11246e+06	2603.96	1.321	17.4756	0.000691508	0.00636594	47564.9	351.73	731.439	0.00949751	0.0191774	22404	529.295	775.053	0.0220697	0.0336906	0	0	0	0	0	0	0	0	0	0	58923.9	42.864	42.8201	0.0014739	0.0014724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12884.3	60.672	42.9031	0.00433711	0.00299028	0	0	0	0	0	4311.11	0.036	18.8258	1.23387e-05	0.00391801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-4-15	4	0	1.12278e+15	6.42075e+14	2.35535e+15	4.03554e+07	4.18296e+07	6.72875e+07	1.18637e+08	6.7362e+07	7.52538e+07	886.137	2950.96	4904.91	540651	575039	1.11569e+06	4428.89	35.891	38.3662	0.0217978	0.00998291	49492.5	1249.55	892.407	0.022432	0.020152	20904.9	780.793	787.753	0.0288425	0.0404168	0	0	0	0	0	0	0	0	0	0	35928.4	12.123	12.1107	0.000599549	0.000598941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12007	4.601	44.236	0.00189125	0.00274577	0	0	0	0	0	7324.41	12.554	36.3337	0.00348706	0.00435319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-5-15	5	0	1.08239e+15	6.12167e+14	2.19892e+15	3.94594e+07	4.20121e+07	6.68639e+07	1.19696e+08	6.78915e+07	7.51334e+07	853.795	2866.04	4785.48	540320	579192	1.11951e+06	6612.23	113.06	66.6111	0.028786	0.0119178	57296.3	1457.2	979.617	0.0276559	0.0184858	25937.2	1200.26	1347.18	0.0382794	0.050196	0	0	0	0	0	0	0	0	0	0	11893.4	1.302	1.30068	0.000466436	0.000465963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14223.2	4.635	50.9047	0.000864188	0.0030357	0	0	0	0	0	7367.53	11.623	32.1661	0.00311054	0.00419787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-6-15	6	0	1.07106e+15	6.73211e+14	2.20007e+15	3.8717e+07	4.21219e+07	6.62084e+07	1.20776e+08	6.81962e+07	7.46351e+07	825.925	2775.43	4639.62	539939	584283	1.12422e+06	6543.23	209.936	80.5025	0.0373582	0.0126876	48669.4	984.161	765.075	0.0231071	0.020152	36752.5	1997.83	2097.22	0.0486867	0.0459662	0	0	0	0	0	0	0	0	0	0	12813.5	15.983	15.9668	0.0032234	0.00322013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14786.6	35.838	56.8917	0.00243602	0.0029578	0	0	0	0	0	8223.68	11.635	31.937	0.00374402	0.00356088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-7-15	7	0	1.07946e+15	8.18353e+14	2.44388e+15	3.83287e+07	4.21853e+07	6.56723e+07	1.21558e+08	6.82874e+07	7.40019e+07	776.418	2683.59	4504.4	539416	590842	1.13026e+06	3871.55	182.404	47.6512	0.0277089	0.0125429	40768.7	1105.56	632.201	0.0231099	0.0182131	38924.5	2045.27	2105.14	0.045769	0.0431748	0	0	0	0	0	0	0	0	0	0	11992.8	15.444	15.4283	0.00205578	0.00205369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23756	57.101	78.71	0.0030482	0.00247453	0	0	0	0	0	8762.43	18.866	32.0622	0.00481134	0.00390564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-8-15	8	0	1.11885e+15	9.91817e+14	2.81129e+15	3.83798e+07	4.21867e+07	6.55217e+07	1.22042e+08	6.8226e+07	7.34887e+07	719.208	2579.12	4341.23	539225	587615	1.12684e+06	5755.86	122.905	68.4662	0.0240646	0.0137587	49298.7	890.807	654.927	0.0189473	0.0154565	35884	1595.54	1540.01	0.0394863	0.0365807	0	0	0	0	0	0	0	0	0	0	8057.73	16.592	16.575	0.00287586	0.00287293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28033.7	64.198	81.319	0.00479841	0.00226746	0	0	0	0	0	7352.12	2.777	25.4941	0.00128561	0.0035902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-9-15	9	0	1.13167e+15	1.05935e+15	3.11455e+15	3.9093e+07	4.20684e+07	6.57575e+07	1.22278e+08	6.80193e+07	7.33038e+07	748.344	2425.49	4145.6	539130	583414	1.12254e+06	4566.96	69.947	59.4353	0.0156727	0.0140122	63126.1	465.56	610.401	0.0128334	0.0146907	35162.8	1292.04	1238.3	0.0349128	0.0355814	0	0	0	0	0	0	0	0	0	0	28009.5	17.96	17.9417	0.0022256	0.00222335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40182.4	80.777	89.2002	0.00468581	0.00234521	0	0	0	0	0	13112.2	5.17	47.7785	0.00053555	0.00353153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1979-10-15	10	0	1.12703e+15	1.03946e+15	3.16243e+15	4.0192e+07	4.20121e+07	6.62873e+07	1.2231e+08	6.77392e+07	7.35232e+07	814.888	2374.82	4008.15	538905	575395	1.1143e+06	3521.82	42.451	44.1414	0.0155894	0.0135809	69959.7	307.441	574.647	0.00738858	0.0143879	38116.2	1254.24	1415.63	0.0306926	0.0336001	0	0	0	0	0	0	0	0	0	0	24946.7	37.277	37.2388	0.00143848	0.00143702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47467.7	260.615	106.567	0.00688299	0.00305353	0	0	0	0	0	19042.5	1.994	82.4264	0.000206069	0.0042271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
