alb regions: 			
140 170 -10 0
140 170 -25 -10
140 170 -50 -25
170 210 -10 0
170 210 -25 -10
170 210 -50 -25
210 230 -25 -5
210 230 -50 -25
juvenile: from age 0 to 0			
young: from age 0 to age54 (see maturity at age)			
Recruit: at age 2			
Adult: from age 54 to age 3			
Total biomass: from age 0 to 151			

year	month	day	alb N Larvae region 1	alb N Larvae region 2	alb N Larvae region 3	alb N Larvae region 4	alb N Larvae region 5	alb N Larvae region 6	alb N Larvae region 7	alb N Larvae region 8	Total N Larvae	alb N Juv. region 1	alb N Juv. region 2	alb N Juv. region 3	alb N Juv. region 4	alb N Juv. region 5	alb N Juv. region 6	alb N Juv. region 7	alb N Juv. region 8	Total N Juv.	alb N Rec. region 1	alb N Rec. region 2	alb N Rec. region 3	alb N Rec. region 4	alb N Rec. region 5	alb N Rec. region 6	alb N Rec. region 7	alb N Rec. region 8	Total N. Rec.	alb B Young region 1	alb B Young region 2	alb B Young region 3	alb B Young region 4	alb B Young region 5	alb B Young region 6	alb B Young region 7	alb B Young region 8	Total B. Young	alb B Adult region 1	alb B Adult region 2	alb B Adult region 3	alb B Adult region 4	alb B Adult region 5	alb B Adult region 6	alb B Adult region 7	alb B Adult region 8	Total B Adult	alb B tot. region 1	alb B tot. region 2	alb B tot. region 3	alb B tot. region 4	alb B tot. region 5	alb B tot. region 6	alb B tot. region 7	alb B tot. region 8	Total B	
1979	1	15	369157	1.38673e+06	354410	165995	3.18513e+06	625232	1.55719e+06	361328	8.00517e+06	594442	2.80877e+06	482181	159488	5.66902e+06	1.13905e+06	2.75703e+06	561304	1.41713e+07	832602	4.06779e+06	824739	235461	7.70271e+06	2.07938e+06	3.80276e+06	834969	2.03804e+07	8943.31	33669.3	88092.4	6822.9	35150.3	203829	15988.5	39841.4	432337	17288.1	37750.1	46042.9	16315.5	68718.9	95648.5	28548.6	40154.4	350467	26231.4	71419.3	134135	23138.4	103869	299477	44537	79995.8	782804	
1979	2	15	180044	1.37369e+06	621754	165737	3.00014e+06	894433	1.50062e+06	540205	8.27663e+06	663761	2.64769e+06	642834	237146	5.73977e+06	1.19862e+06	2.88493e+06	663143	1.46779e+07	926357	3.8144e+06	1.00765e+06	312175	7.80866e+06	2.15218e+06	4.03201e+06	973731	2.10272e+07	9148.59	33520.1	87825.4	6876.99	34352.9	204391	15712.5	39719.7	431547	16999.3	35126.2	51816.6	16086.4	58102.3	110569	26139.7	42452.2	357291	26147.9	68646.3	139642	22963.3	92455.2	314960	41852.2	82171.9	788839	
1979	3	15	188549	1.46455e+06	689401	166825	2.7717e+06	978600	1.34484e+06	503803	8.10827e+06	533333	2.55585e+06	979970	317744	5.59103e+06	1.52289e+06	2.88183e+06	867411	1.52501e+07	817950	3.67799e+06	1.39669e+06	412420	7.68509e+06	2.44365e+06	4.09796e+06	1.2046e+06	2.17363e+07	9177.55	33403.3	87637.7	7232.45	33162	205145	15150.6	39819.5	430729	16245.8	33323.4	55490.9	15457.2	51355.5	119630	23538.6	44557.1	359598	25423.3	66726.7	143129	22689.6	84517.5	324775	38689.2	84376.6	790327	
1979	4	15	182871	1.44038e+06	786288	160003	2.47443e+06	1.0656e+06	1.22011e+06	476980	7.80667e+06	373235	2.6449e+06	1.27914e+06	351334	5.17293e+06	1.83274e+06	2.69206e+06	947985	1.52943e+07	680644	3.67493e+06	1.7968e+06	491388	7.32681e+06	2.78775e+06	3.94651e+06	1.33163e+06	2.20365e+07	9233.47	32909.3	87689.4	7315.09	32089.6	205643	14480.1	40171.8	429532	15729.2	32307.2	58268.5	14455.2	46928.1	125750	21409	46298.4	361146	24962.7	65216.4	145958	21770.2	79017.7	331393	35889.1	86470.2	790677	
1979	5	15	191608	1.54786e+06	805887	131934	2.3684e+06	1.02988e+06	1.13505e+06	428794	7.63942e+06	341461	2.74546e+06	1.39966e+06	312629	4.68942e+06	1.97982e+06	2.42261e+06	882730	1.47738e+07	506588	3.78237e+06	2.12998e+06	496136	6.71245e+06	3.13108e+06	3.64872e+06	1.3575e+06	2.17648e+07	9401.59	32321.7	88078.8	7217.93	31343	206037	13943.8	40643.3	428987	15361.8	31828.8	60154.9	13533.9	44203.7	130386	19799.4	47698.2	362967	24763.4	64150.5	148234	20751.8	75546.7	336423	33743.2	88341.5	791954	
1979	6	15	215621	1.5814e+06	748230	124910	2.39785e+06	917994	1.14252e+06	364506	7.49303e+06	353223	2.8152e+06	1.48406e+06	269173	4.30952e+06	2.03523e+06	2.25383e+06	804007	1.43242e+07	515687	3.94987e+06	2.2536e+06	432693	6.20579e+06	3.1856e+06	3.37404e+06	1.23268e+06	2.115e+07	9413.82	32069.2	88125.7	7015.6	30989	206507	13897.1	41100.1	429118	15081.9	32149.5	60510.9	12851.8	42496.2	134677	18871.9	49394.7	366033	24495.7	64218.7	148637	19867.4	73485.1	341184	32769	90494.7	795151	
1979	7	15	238202	1.6332e+06	531798	142642	2.41878e+06	727305	1.14049e+06	295696	7.12812e+06	404029	2.92993e+06	1.43853e+06	264286	4.29865e+06	1.8559e+06	2.20447e+06	687785	1.40836e+07	564740	4.05355e+06	2.26271e+06	417851	6.02554e+06	3.01628e+06	3.25076e+06	1.07487e+06	2.06663e+07	9434.55	32120.8	88202.8	6920.21	30761.9	206636	13906.1	41198.4	429181	15054.8	32208.9	61390.1	12647.8	41423.8	138093	18241.8	51310.8	370371	24489.4	64329.8	149593	19568	72185.8	344729	32148	92509.2	799552	
1979	8	15	246885	1.66929e+06	344297	160602	2.44985e+06	518970	1.11143e+06	233233	6.73455e+06	441120	3.04844e+06	1.1645e+06	306312	4.43724e+06	1.53165e+06	2.20273e+06	583803	1.37158e+07	622148	4.26681e+06	1.99683e+06	457957	6.11204e+06	2.63549e+06	3.19641e+06	921921	2.02096e+07	9349.18	32334.2	88363.4	6906.53	30509.9	207067	13876.2	41058.6	429465	15157.3	32914.9	57702.6	12345.2	48592.7	125812	18675.5	49703	360903	24506.5	65249.1	146066	19251.8	79102.5	332879	32551.6	90761.6	790368	
1979	9	15	252730	1.67539e+06	266774	141044	2.75246e+06	539592	1.18996e+06	264044	7.082e+06	450899	3.14331e+06	834515	334984	4.4729e+06	1.21285e+06	2.15482e+06	489915	1.30942e+07	643497	4.42968e+06	1.60377e+06	501122	6.21053e+06	2.21394e+06	3.15302e+06	790525	1.95461e+07	9115.25	32106	88831.9	6744.02	31286.6	207280	13739.3	40831.2	429934	15183.5	35348.1	53563.1	11575	60983.9	111941	22635.1	46031.1	357260	24298.7	67454.1	142395	18319.1	92270.5	319221	36374.4	86862.2	787195	
1979	10	15	241077	1.65944e+06	221009	137907	3.07654e+06	567894	1.4488e+06	291468	7.64414e+06	471038	3.16765e+06	613370	351864	4.7711e+06	1.11009e+06	2.1695e+06	475921	1.31305e+07	668143	4.53909e+06	1.20388e+06	567001	6.54825e+06	1.95044e+06	3.13692e+06	742752	1.93565e+07	8864.05	32044.5	89144	6818.1	32318.6	206837	13550.1	40632.1	430209	15199.9	37556.7	49421.6	12160.8	69660.5	100295	27162.2	41301.4	352758	24064	69601.3	138566	18978.9	101979	307132	40712.3	81933.5	782966	
