length	L1_alb_region_1	L2_alb_region_1	L3_alb_region_1	L4_alb_region_1	L5_alb_region_1	L6_alb_region_1	L7_alb_region_1	T8_alb_region_1	G9_alb_region_1	L10_alb_region_1	L11_alb_region_1	L12_alb_region_1	L13_alb_region_1	L14_alb_region_1	L15_alb_region_1	L16_alb_region_1	L1_alb_region_2	L2_alb_region_2	L3_alb_region_2	L4_alb_region_2	L5_alb_region_2	L6_alb_region_2	L7_alb_region_2	T8_alb_region_2	G9_alb_region_2	L10_alb_region_2	L11_alb_region_2	L12_alb_region_2	L13_alb_region_2	L14_alb_region_2	L15_alb_region_2	L16_alb_region_2	L1_alb_region_3	L2_alb_region_3	L3_alb_region_3	L4_alb_region_3	L5_alb_region_3	L6_alb_region_3	L7_alb_region_3	T8_alb_region_3	G9_alb_region_3	L10_alb_region_3	L11_alb_region_3	L12_alb_region_3	L13_alb_region_3	L14_alb_region_3	L15_alb_region_3	L16_alb_region_3	L1_alb_region_4	L2_alb_region_4	L3_alb_region_4	L4_alb_region_4	L5_alb_region_4	L6_alb_region_4	L7_alb_region_4	T8_alb_region_4	G9_alb_region_4	L10_alb_region_4	L11_alb_region_4	L12_alb_region_4	L13_alb_region_4	L14_alb_region_4	L15_alb_region_4	L16_alb_region_4	L1_alb_region_5	L2_alb_region_5	L3_alb_region_5	L4_alb_region_5	L5_alb_region_5	L6_alb_region_5	L7_alb_region_5	T8_alb_region_5	G9_alb_region_5	L10_alb_region_5	L11_alb_region_5	L12_alb_region_5	L13_alb_region_5	L14_alb_region_5	L15_alb_region_5	L16_alb_region_5	L1_alb_region_6	L2_alb_region_6	L3_alb_region_6	L4_alb_region_6	L5_alb_region_6	L6_alb_region_6	L7_alb_region_6	T8_alb_region_6	G9_alb_region_6	L10_alb_region_6	L11_alb_region_6	L12_alb_region_6	L13_alb_region_6	L14_alb_region_6	L15_alb_region_6	L16_alb_region_6	L1_alb_region_7	L2_alb_region_7	L3_alb_region_7	L4_alb_region_7	L5_alb_region_7	L6_alb_region_7	L7_alb_region_7	T8_alb_region_7	G9_alb_region_7	L10_alb_region_7	L11_alb_region_7	L12_alb_region_7	L13_alb_region_7	L14_alb_region_7	L15_alb_region_7	L16_alb_region_7	L1_alb_region_8	L2_alb_region_8	L3_alb_region_8	L4_alb_region_8	L5_alb_region_8	L6_alb_region_8	L7_alb_region_8	T8_alb_region_8	G9_alb_region_8	L10_alb_region_8	L11_alb_region_8	L12_alb_region_8	L13_alb_region_8	L14_alb_region_8	L15_alb_region_8	L16_alb_region_8	sum_L1_alb	sum_L2_alb	sum_L3_alb	sum_L4_alb	sum_L5_alb	sum_L6_alb	sum_L7_alb	sum_T8_alb	sum_G9_alb	sum_L10_alb	sum_L11_alb	sum_L12_alb	sum_L13_alb	sum_L14_alb	sum_L15_alb	sum_L16_alb	sum_alb_region_1	sum_alb_region_2	sum_alb_region_3	sum_alb_region_4	sum_alb_region_5	sum_alb_region_6	sum_alb_region_7	sum_alb_region_8	
Quarter 1
24.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
